OBJECTID,GISJOIN,longitude,latitude,orig_parish,current_parish,census_year,census_state,census_state_code,census_county_code,census_county,total_pop,nwfree_pop,nwslave_pop,white_pop,yeardate_format
1,G4170335,-90.36304682,29.88361539,St Charles,St Charles,1810,Orleans Territory,417,335,St Charles,3291,150,2321,820,1810-01-01
2,G2200890,-90.36304682,29.88361539,St Charles,St Charles,1820,Louisiana,220,890,St Charles,3862,148,2987,727,1820-01-01
3,G2200890,-90.36304682,29.88361539,St Charles,St Charles,1830,Louisiana,220,890,St Charles,5147,158,4118,871,1830-01-01
4,G2200890,-90.36304682,29.88361539,St Charles,St Charles,1840,Louisiana,220,890,St Charles,4700,104,3722,874,1840-01-01
5,G2200890,-90.36304682,29.88361539,St Charles,St Charles,1850,Louisiana,220,890,St Charles,5120,121,4132,867,1850-01-01
6,G2200890,-90.36304682,29.88361539,St Charles,St Charles,1860,Louisiana,220,890,St Charles,5297,177,4182,938,1860-01-01
7,G4170095,-91.96394264,31.8014266,Catahoula,Catahoula,1810,Orleans Territory,417,95,Catahoula,1164,8,348,808,1810-01-01
8,G2200250,-91.96394264,31.8014266,Catahoula,Catahoula,1820,Louisiana,220,250,Catahoula,2287,12,751,1524,1820-01-01
9,G2200250,-91.96394264,31.8014266,Catahoula,Catahoula,1830,Louisiana,220,250,Catahoula,2581,18,920,1643,1830-01-01
10,G2200250,-91.96394264,31.8014266,Catahoula,Catahoula,1840,Louisiana,220,250,Catahoula,4955,22,1998,2935,1840-01-01
11,G2200250,-91.96394264,31.8014266,Catahoula,Catahoula,1850,Louisiana,220,250,Catahoula,7132,19,3528,3585,1850-01-01
12,G2200250,-91.96394264,31.8014266,Catahoula,Catahoula,1860,Louisiana,220,250,Catahoula,11651,46,6113,5492,1860-01-01
13,G4170135,-91.16158257,30.22488985,Iberville,Iberville,1810,Orleans Territory,417,135,Iberville,2679,45,1205,1429,1810-01-01
14,G2200470,-91.16158257,30.22488985,Iberville,Iberville,1820,Louisiana,220,470,Iberville,4414,116,2279,2019,1820-01-01
15,G2200470,-91.16158257,30.22488985,Iberville,Iberville,1830,Louisiana,220,470,Iberville,7049,161,4508,2380,1830-01-01
16,G2200470,-91.16158257,30.22488985,Iberville,Iberville,1840,Louisiana,220,470,Iberville,8495,85,5887,2523,1840-01-01
17,G2200470,-91.16158257,30.22488985,Iberville,Iberville,1850,Louisiana,220,470,Iberville,12278,104,8606,3568,1850-01-01
18,G2200470,-91.16158257,30.22488985,Iberville,Iberville,1860,Louisiana,220,470,Iberville,14661,188,10680,3793,1860-01-01
19,G4170215,-90.03674999,29.84354993,Orleans,Orleans,1810,Orleans Territory,417,215,Orleans,24552,5727,10824,8001,1810-01-01
20,G2200710,-90.03674999,29.84354993,Orleans,Orleans,1820,Louisiana,220,710,Orleans,41351,7161,14946,19244,1820-01-01
21,G2200710,-90.03674999,29.84354993,Orleans,Orleans,1830,Louisiana,220,710,Orleans,49826,11906,16639,21281,1830-01-01
22,G2200710,-90.03674999,29.84354993,Orleans,Orleans,1840,Louisiana,220,710,Orleans,102193,19226,23448,59519,1840-01-01
23,G2200710,-90.03674999,29.84354993,Orleans,Orleans,1850,Louisiana,220,710,Orleans,119460,9961,18068,91431,1850-01-01
24,G2200710,-90.03674999,29.84354993,Orleans,Orleans,1860,Louisiana,220,710,Orleans,174491,10944,14484,149063,1860-01-01
25,G4170355,-90.74362804,30.10723163,St James,St James,1810,Orleans Territory,417,355,St James,3955,41,1952,1962,1810-01-01
26,G2200930,-90.74362804,30.10723163,St James,St James,1820,Louisiana,220,930,St James,5660,52,3086,2522,1820-01-01
27,G2200930,-90.74362804,30.10723163,St James,St James,1830,Louisiana,220,930,St James,7646,60,5029,2557,1830-01-01
28,G2200930,-90.74362804,30.10723163,St James,St James,1840,Louisiana,220,930,St James,8548,75,5711,2762,1840-01-01
29,G2200930,-90.74362804,30.10723163,St James,St James,1850,Louisiana,220,930,St James,11098,62,7751,3285,1850-01-01
30,G2200930,-90.74362804,30.10723163,St James,St James,1860,Louisiana,220,930,St James,11499,61,8090,3348,1860-01-01
31,G4170395,-91.4153911,30.38269112,West Baton Rouge,West Baton Rouge,1810,Orleans Territory,417,395,West Baton Rouge,1463,82,675,706,1810-01-01
32,G2201210,-91.4153911,30.38269112,West Baton Rouge,West Baton Rouge,1820,Louisiana,220,1210,West Baton Rouge,2335,124,1303,908,1820-01-01
33,G2201210,-91.4153911,30.38269112,West Baton Rouge,West Baton Rouge,1830,Louisiana,220,1210,West Baton Rouge,3084,148,1932,1004,1830-01-01
34,G2201210,-91.4153911,30.38269112,West Baton Rouge,West Baton Rouge,1840,Louisiana,220,1210,West Baton Rouge,4638,120,3147,1371,1840-01-01
35,G2201210,-91.4153911,30.38269112,West Baton Rouge,West Baton Rouge,1850,Louisiana,220,1210,West Baton Rouge,6270,105,4350,1815,1850-01-01
36,G2201210,-91.4153911,30.38269112,West Baton Rouge,West Baton Rouge,1860,Louisiana,220,1210,West Baton Rouge,7312,113,5340,1859,1860-01-01
37,G4170315,-89.54776223,29.86510393,St Bernard,St Bernard,1810,Orleans Territory,417,315,St Bernard,1020,10,382,628,1810-01-01
38,G2200870,-89.54776223,29.86510393,St Bernard,St Bernard,1820,Louisiana,220,870,St Bernard,2635,45,1923,667,1820-01-01
39,G2200870,-89.54776223,29.86510393,St Bernard,St Bernard,1830,Louisiana,220,870,St Bernard,3356,57,2519,780,1830-01-01
40,G2200870,-89.54776223,29.86510393,St Bernard,St Bernard,1840,Louisiana,220,870,St Bernard,3237,65,2137,1035,1840-01-01
41,G2200870,-89.54776223,29.86510393,St Bernard,St Bernard,1850,Louisiana,220,870,St Bernard,3802,73,2323,1406,1850-01-01
42,G2200870,-89.54776223,29.86510393,St Bernard,St Bernard,1860,Louisiana,220,870,St Bernard,4076,65,2240,1771,1860-01-01
43,G4170055,-91.96507859,29.90798837,Attakapas,St Martin,1810,Orleans Territory,417,55,Attakapas,7369,278,3132,3959,1810-01-01
44,G2200075,-91.96507859,29.90798837,Attakapas,St Martin,1820,Louisiana,220,75,Attakapas,12063,494,5707,5862,1820-01-01
45,G2200990,-91.96507859,29.90798837,Attakapas,St Martin,1830,Louisiana,220,990,St Martin,7205,408,3987,2810,1830-01-01
46,G2200990,-91.96507859,29.90798837,Attakapas,St Martin,1840,Louisiana,220,990,St Martin,8674,484,4641,3549,1840-01-01
47,G2200990,-91.96507859,29.90798837,Attakapas,St Martin,1850,Louisiana,220,990,St Martin,11761,529,6489,4743,1850-01-01
48,G2200990,-91.96507859,29.90798837,Attakapas,St Martin,1860,Louisiana,220,990,St Martin,12674,332,7358,4984,1860-01-01
49,G4170035,-91.04393632,29.87523529,Assumption,Assumption,1810,Orleans Territory,417,35,Assumption,2472,10,547,1915,1810-01-01
50,G2200070,-91.04393632,29.87523529,Assumption,Assumption,1820,Louisiana,220,70,Assumption,3576,18,1149,2409,1820-01-01
51,G2200070,-91.04393632,29.87523529,Assumption,Assumption,1830,Louisiana,220,70,Assumption,5669,28,1881,3760,1830-01-01
52,G2200070,-91.04393632,29.87523529,Assumption,Assumption,1840,Louisiana,220,70,Assumption,7141,50,2988,4103,1840-01-01
53,G2200070,-91.04393632,29.87523529,Assumption,Assumption,1850,Louisiana,220,70,Assumption,10538,27,5341,5170,1850-01-01
54,G2200070,-91.04393632,29.87523529,Assumption,Assumption,1860,Louisiana,220,70,Assumption,15379,94,8096,7189,1860-01-01
55,G4170375,-90.52819166,30.08984295,St John Baptiste,St John The Baptist,1810,Orleans Territory,417,375,St John Baptiste,2990,70,1518,1402,1810-01-01
56,G2200950,-90.52819166,30.08984295,St John Baptiste,St John The Baptist,1820,Louisiana,220,950,St John The Baptist,3854,113,2209,1532,1820-01-01
57,G2200950,-90.52819166,30.08984295,St John Baptiste,St John The Baptist,1830,Louisiana,220,950,St John The Baptist,5677,204,3493,1980,1830-01-01
58,G2200950,-90.52819166,30.08984295,St John Baptiste,St John The Baptist,1840,Louisiana,220,950,St John The Baptist,5776,191,3444,2141,1840-01-01
59,G2200950,-90.52819166,30.08984295,St John Baptiste,St John The Baptist,1850,Louisiana,220,950,St John The Baptist,7317,191,4540,2586,1850-01-01
60,G2200950,-90.52819166,30.08984295,St John Baptiste,St John The Baptist,1860,Louisiana,220,950,St John The Baptist,7930,299,4594,3037,1860-01-01
61,G4170075,-91.94778067,31.04606595,Avoyelles,Avoyelles,1810,Orleans Territory,417,75,Avoyelles,1209,22,404,783,1810-01-01
62,G2200090,-91.94778067,31.04606595,Avoyelles,Avoyelles,1820,Louisiana,220,90,Avoyelles,2245,25,782,1438,1820-01-01
63,G2200090,-91.94778067,31.04606595,Avoyelles,Avoyelles,1830,Louisiana,220,90,Avoyelles,3484,35,1335,2114,1830-01-01
64,G2200090,-91.94778067,31.04606595,Avoyelles,Avoyelles,1840,Louisiana,220,90,Avoyelles,6616,78,3472,3066,1840-01-01
65,G2200090,-91.94778067,31.04606595,Avoyelles,Avoyelles,1850,Louisiana,220,90,Avoyelles,9326,106,5161,4059,1850-01-01
66,G2200090,-91.94778067,31.04606595,Avoyelles,Avoyelles,1860,Louisiana,220,90,Avoyelles,13167,78,7185,5904,1860-01-01
67,G4170015,-91.0281713,30.14113671,Ascension,Ascension,1810,Orleans Territory,417,15,Ascension,2219,47,1031,1141,1810-01-01
68,G2200050,-91.0281713,30.14113671,Ascension,Ascension,1820,Louisiana,220,50,Ascension,3728,104,2129,1495,1820-01-01
69,G2200050,-91.0281713,30.14113671,Ascension,Ascension,1830,Louisiana,220,50,Ascension,5426,134,3567,1725,1830-01-01
70,G2200050,-91.0281713,30.14113671,Ascension,Ascension,1840,Louisiana,220,50,Ascension,6951,143,4553,2255,1840-01-01
71,G2200050,-91.0281713,30.14113671,Ascension,Ascension,1850,Louisiana,220,50,Ascension,10752,146,7266,3340,1850-01-01
72,G2200050,-91.0281713,30.14113671,Ascension,Ascension,1860,Louisiana,220,50,Ascension,11484,168,7376,3940,1860-01-01
73,G4170195,-92.55194188,30.4068788,Opelousas,St Landry,1810,Orleans Territory,417,195,Opelousas,5048,389,1670,2989,1810-01-01
74,G2200970,-92.55194188,30.4068788,Opelousas,St Landry,1820,Louisiana,220,970,St Landry,10085,766,3951,5368,1820-01-01
75,G2200970,-92.55194188,30.4068788,Opelousas,St Landry,1830,Louisiana,220,970,St Landry,12591,909,4970,6712,1830-01-01
76,G2200970,-92.55194188,30.4068788,Opelousas,St Landry,1840,Louisiana,220,970,St Landry,15233,925,7129,7179,1840-01-01
77,G2200970,-92.55194188,30.4068788,Opelousas,St Landry,1850,Louisiana,220,970,St Landry,22253,1242,10871,10140,1850-01-01
78,G2200970,-92.55194188,30.4068788,Opelousas,St Landry,1860,Louisiana,220,970,St Landry,23104,965,11436,10703,1860-01-01
79,G4170275,-91.59435159,30.69318746,Pointe Coupee,Pointe Coupee,1810,Orleans Territory,417,275,Pointe Coupee,4539,104,3187,1248,1810-01-01
80,G2200770,-91.59435159,30.69318746,Pointe Coupee,Pointe Coupee,1820,Louisiana,220,770,Pointe Coupee,4912,190,3630,1092,1820-01-01
81,G2200770,-91.59435159,30.69318746,Pointe Coupee,Pointe Coupee,1830,Louisiana,220,770,Pointe Coupee,5936,255,4210,1471,1830-01-01
82,G2200770,-91.59435159,30.69318746,Pointe Coupee,Pointe Coupee,1840,Louisiana,220,770,Pointe Coupee,7898,381,5430,2087,1840-01-01
83,G2200770,-91.59435159,30.69318746,Pointe Coupee,Pointe Coupee,1850,Louisiana,220,770,Pointe Coupee,11339,560,7811,2968,1850-01-01
84,G2200770,-91.59435159,30.69318746,Pointe Coupee,Pointe Coupee,1860,Louisiana,220,770,Pointe Coupee,17718,721,12903,4094,1860-01-01
85,G4170295,-92.41075828,31.33035004,Rapides,Rapides,1810,Orleans Territory,417,295,Rapides,2200,123,1081,996,1810-01-01
86,G2200790,-92.41075828,31.33035004,Rapides,Rapides,1820,Louisiana,220,790,Rapides,6065,85,3489,2491,1820-01-01
87,G2200790,-92.41075828,31.33035004,Rapides,Rapides,1830,Louisiana,220,790,Rapides,7575,113,5329,2133,1830-01-01
88,G2200790,-92.41075828,31.33035004,Rapides,Rapides,1840,Louisiana,220,790,Rapides,14132,378,10511,3243,1840-01-01
89,G2200790,-92.41075828,31.33035004,Rapides,Rapides,1850,Louisiana,220,790,Rapides,16561,184,11340,5037,1850-01-01
90,G2200790,-92.41075828,31.33035004,Rapides,Rapides,1860,Louisiana,220,790,Rapides,25360,291,15358,9711,1860-01-01
91,G4170115,-91.45887343,31.77555313,Concordia,Concordia,1810,Orleans Territory,417,115,Concordia,2895,35,1581,1279,1810-01-01
92,G2200290,-91.45887343,31.77555313,Concordia,Concordia,1820,Louisiana,220,290,Concordia,2626,12,1787,827,1820-01-01
93,G2200290,-91.45887343,31.77555313,Concordia,Concordia,1830,Louisiana,220,290,Concordia,4662,20,3617,1025,1830-01-01
94,G2200290,-91.45887343,31.77555313,Concordia,Concordia,1840,Louisiana,220,290,Concordia,9414,31,8003,1380,1840-01-01
95,G2200290,-91.45887343,31.77555313,Concordia,Concordia,1850,Louisiana,220,290,Concordia,7758,1,6934,823,1850-01-01
96,G2200290,-91.45887343,31.77555313,Concordia,Concordia,1860,Louisiana,220,290,Concordia,13805,21,12542,1242,1860-01-01